src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
And it took everything 	 Et elle 	 See, paradise. I lost my virginity over here, when I was 26 And ten years ago the tsunami came. No warning. The wave was high as a house. 	 Voyez, le paradis. J'ai perdu ma virginité ici, quand j'avais 26 ans. Et il y a 10 ans le tsunami est arrivé. Sans avertissement.  La vague  était aussi haute qu'une maison. 	 None 	 La vague 
Maybe they forget for good reason. 	 Peut-être oublient-elles 	 I only share spit with my man and my babies. I'll take it. Mother's Day Fair... expanded visitation... it fosters the inmates' connection to the outside world. These women forget they have lives on the outside, it affects how they behave in here. 	 Je ne partage ma salive qu'avec mon mec et mes bébés. Je les veux bien. On célèbre la fête des mères. Visites rallongées, ça renforce le lien des détenues avec l'extérieur.  Ces femmes  oublient qu'elles ont une vie à l'extérieur, ça affecte leur comportement ici. 	 None 	 Ces femmes 
Will they be the same, My Lord? 	 Seront-elles 	 Because if I'm not there to speak for the Cardinal, they'll kill him. Cromwell, I am content you are a burgess in the Parliament. My Lord. I spoke to the King for you and he is also content. You will take his instructions in the Commons - and mine. 	 Parce que si je ne suis pas là pour parler au nom du Cardinal, Ils le tueront. Cromwell, Je suis content que vous soyez un représentant des bourgeois au Parlement. Mon Seigneur. J'ai parlé au Roi pour vous et il est aussi satisfait. Vous prendrez ses  instructions  aux communes... Et auprès de moi. 	 None 	 instructions 
But they're evenly split between four different intended recipients. 	 Mais elles 	 You can see that plainly enough in the lost letter technique, which I conceived of at Yale and was refined at Harvard. Leave a letter, a sealed, stamped letter but un-mailed, for someone else to find. Leave it on a sidewalk, inside a store, a phone booth. Put it under the windshield wipers of a parked car with a note saying, "Found near car." All letters are addressed to the same post office box. 	 On le voit de toute évidence dans la technique de la lettre perdue, technique que j'ai conçue à Yale et qui a été affinée à Harvard. Laissez une enveloppe scellée et timbrée mais non postée pour qu'une autre personne la trouve. Laissez-la sur le trottoir, dans un magasin, une cabine téléphonique. Coincez-la sous les essuie-glaces d'une voiture garée avec un mot qui dit, "Trouvée près de la voiture." Toutes les  enveloppes  sont adressées à la même boîte postale. 	 None 	 enveloppes 
Not long ago, you didn't even know they existed. 	 Il n'y a pas si longtemps, tu ne savais même pas qu'elles 	 Fight to the end. I'm impressed. I wish I could've spent more time with you. I have everything I need from you. I don't understand why you would care so much about these witches. 	 Bats toi jusqu'à la fin. Je suis impressionné. J'aimerais avoir passé plus de temps avec toi. j'ai eu tout ce que je voulais de toi. Je ne comprends pas pourquoi tu tiens tellement à ces  sorcières . 	 None 	 sorcières 
What would be the danger if they did? 	 Quel serait le danger si elles 	 Are you going to fix that yourself? Of course. I'm good with stitching. So, women wear corsets so they don't exert themselves? Partly. 	 Vas-tu l'arranger toi-même ? Bien sûr. Je suis doué pour la couture. Les  femmes  portent des corsets afin de ne pas s'épuiser ? En partie. 	 None 	 femmes 
I thought they hurt your feet. 	 Je pensais qu'elles 	 Not for flattery, or... my vanity... or anything under the sun. Now, please... go and take it off. The dress will look fine without it. Thank you. But I'll keep the shoes on if I may. 	 Ni pour l'esthétique, ni pour ma vanité, ni pour quoi que ce soit sous le soleil. Maintenant, s'il vous plaît... allez l'enlever. La robe n'en sera que plus belle. Merci. Mais je vais garder les  chaussures . 	 None 	 chaussures 
When it arrives, I'm sure it'll make fascinating reading. 	 Quand il 	 Good evening, Mr. Talbot. Yes. I have penetrated your fanciful stage name. Ethan Lawrence Talbot. Born the year of our Lord 1857 in the New Mexico Territory, enlisted in the United States Cavalry March the 2nd, 1882. Your complete War Department dossier is currently being ferreted out from thick ledgers in various departmental agencies in Washington. 	 Bonne soirée, M. Talbot. Je suis entré dans votre nom de scène imaginaire. Ethan Lawrence Talbot. Né l'année de notre Seigneur, 1857, au Nouveau Mexique, enrôlé dans la Cavalerie des États-Unis le 2 mars 1882. Votre  dossier  complet au Département de la Guerre est actuellement déniché des grands livres épais dans diverses agences départementales à Washington. 	 None 	 dossier 
I... they make me happy. 	 Elles 	 I'm not going in there. You can't make me. I don't like it here. Well, I'm sorry, Marjorie, but I do. And I like those girls. 	 Je n'irai pas là-dedans. Tu ne peux pas me forcer. Je n'aime pas ça. Désolé, Marjorie, mais moi, si. Et ces  filles  me plaisent. 	 None 	 filles 
He knows it was an accident. 	 Non, il 	 How's Toni? He doesn't even hurt anymore. He has this big scar here. It itches like crazy so... he licks it like a dog. Is he mad at me? 	 - Toni, lui,  il  va bien ? -Il a même plus mal. Il a une grosse cicatrice, là. Ça le gratte tout le temps, alors il est là... Il la lèche comme un petit chien. -Il m'en veut? - Non. 	 None 	 il 
